Delivery_Contractor,Property_ID,Postcode_1,Participant_Age,EmployStatus,EmployType,HouseIncome,Date_Contact,Tenure,Tenure_Length,Social_Group,HP_Awareness,Reason_Sustainability,Sustainability_exp,Reason_Future,Future_exp,Reason_Upgrade,Upgrade_exp,Reason_Building,Building_exp,Reason_Financial,Financial_exp,Reason_Technology,Technology_exp,Reason_Research,Research_exp,Reason_Planned,Planned_exp,Reason_Replacement,Replacement_exp,Reason_Other,Other_exp,Date_Survey,Name_Survey,House_Type,House_Form_x,House_Env,House_Age_x,House_SAP,No_Adults,No_Child,No_Storeys,Total_Floor_Area,Habitable_Rooms,Bedrooms,Heated_rooms,Floor_Height,Wall_Type,Floor_Type,Roof_Type,Glazed_Type,Mains_Gas_Flag,Main_Fuel,Heat_Primary_Source,Heat_Secondary_Source,TS_Existing,TS_Existing_Size,No_Underfloor,Existing_Fires,Existing_Cooking,Outside_Space,Outside_Access,Elec_currentuse,Gas_currentuse,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,MCS_Immersion,MCS_Flow_Temp_x,MCS_SCOP_x,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,HP_Recommend,HP_NoRec_R1,HP_NoRec_R2,Measures_Recommend,EstCost_System,EstCost_Ancillary,EstCost_Running,EstCost_Etariff,EstCost_Gtariff,Part_Install_Decision,Part_No_Reason1,Part_No_Reason2,Date_Installation,Name_Install,HP_Installed_x,HP_Installed_Detail,HP_Brand_x,HP_Model_x,HP_Size_kW_x,HP_Refrigerant_x,GSHP_Space,TS_Type,TS_Water_Size,TS_PCM_Size,HP_Control_Zones,Measures_emitters_LT,Measures_emitters_Std,Measures_Fanassist,HP_Aesthetic,HP_Noise,Cooling,Cooling_Rooms,Fires_replaced,Cook_Replaced,Gas_disconnect,Measures_Loft,Measures_Windows,Measures_Doors,Measures_WI,Measures_DP,Cost_HP,Cost_TS,Cost_Install,Cost_Emitters,Cost_Cooling,Cost_LI,Cost_WI,Cost_Window,Cost_Door,Cost_DP,Install_time_HP,Install_time_measures,Comment,Included_SPF_analysis,Excluded_SPF_analysis_reason,Postcode,House_Form_y,House_Age_y,HP_Installed_y,HP_Brand_y,HP_Model_y,HP_Size_kW_y,HP_Refrigerant_y,Whole_dataset_start,Whole_dataset_end,Whole_dataset_duration_days,Cleansed_dataset_start,Cleansed_dataset_end,Cleansed_dataset_duration_days,Selected_window_start,Selected_window_end,Max_quality_score_selected_window,Mean_quality_score_selected_window,SPFH2_selected_window,SPFH3_selected_window,SPFH4_selected_window,Whole_System_Energy_Consumed_selected_window,HP_Energy_Output_selected_window,IH_Energy_Consumed_selected_window,BUH_Energy_Consumed_selected_window,CP_Energy_Consumed_selected_window,Boiler_Energy_Output_selected_window,Difference_SPFH2_SCOP,Proportional_difference_SPFH2_SCOP,Ratio_SPFH2_SCOP,Mean_annual_SH_flow_temp_selected_window,Mean_annual_HW_flow_temp_selected_window,Mean_annual_Return_temp_selected_window,Winter_mean_SH_flow_temp_selected_window,Winter_mean_return_temp_selected_window,Max_SH_flow_temp_selected_window,Flow_>65C_flag_selected_window,Proportion_flow_>65C_selected_window,Temp_cleaning_outcome,SW_proportion_complete_Whole_System_Energy_Consumed,SW_proportion_complete_HP_Energy_Output,SW_proportion_complete_IH_Energy_Consumed,SW_proportion_complete_BUH_Energy_Consumed,SW_proportion_complete_CP_Energy_Consumed,SW_proportion_complete_Boiler_Energy_Output,Acceptable_windows_count,Acceptable_windows_SPFH2_mean,Acceptable_windows_SPFH2_std,Acceptable_windows_SPFH2_median,Acceptable_windows_SPFH3_mean,Acceptable_windows_SPFH3_std,Acceptable_windows_SPFH3_median,Acceptable_windows_SPFH4_mean,Acceptable_windows_SPFH4_std,Acceptable_windows_SPFH4_median,MCS_Flow_Temp_y,MCS_SCOP_y,Included_coldest_day_analysis,Coldest_day_start,Coldest_day_COPH4,Coldest_day_External_Air_Temp_mean,Coldest_day_External_Air_Temp_max,Coldest_day_External_Air_Temp_min,Coldest_day_Internal_Air_Temp_mean,Coldest_day_Internal_Air_Temp_max,Coldest_day_Internal_Air_Temp_min,Coldest_day_Whole_System_Energy_Consumed,Coldest_day_HP_Energy_Output,Coldest_day_IH_Energy_Consumed,Coldest_day_BUH_Energy_Consumed,Coldest_day_CP_Energy_Consumed,Coldest_day_Boiler_Energy_Output,CD_proportion_complete_Whole_System_Energy_Consumed,CD_proportion_complete_HP_Energy_Output,CD_proportion_complete_IH_Energy_Consumed,CD_proportion_complete_BUH_Energy_Consumed,CD_proportion_complete_CP_Energy_Consumed,CD_proportion_complete_Boiler_Energy_Output
Warmworks,EOH0320,EH53,36.0,Working Full time (>30hrs),Professional,"50,001+",2020-09-20T00:00:00.000Z,Owner-Occupied,2.0,AB,4.0,No,,No,,Yes,,No,,No,,Yes,,Yes,,No,,No,,No,,16/12/2020,Warmworks,House,Detached,Suburban,1965-1980,C,2.0,1.0,2.0,158.28,7.0,4.0,7.0,2.5,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,Gas Boiler - Combi,Water,Normal (90-130l),0.0,1.0,1.0,Yes - Borehole,Yes,4384.0,26171.0,,,,,,,,Yes,Yes,Yes,Yes,GSHP,Programme_Cancelled,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH0321,NE12,41.0,Working Full time (>30hrs),Clerical,"50,001+",2021-04-22T00:00:00.000Z,Owner-Occupied,5.0,C1,1.0,NO,,NO,,NO,,NO,,YES,potential for bill savings & gov grant,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO,EOH0322,ME8,62.0,Unfit for work,Supervisor,"0 - 12,500",2021-01-31T00:00:00.000Z,Owner-Occupied,30.0,DE,4.0,Yes,"We are conscious in trying to conserve energy and are very interested and excited in discovering and learning about new, and existing, ways of producing and storing renewable energy and reducing our carbon footprint.",Yes,When we heard about the governments green homes scheme we made many enquiries about installing a air source heat pump as it seemed a feasible option to replacing our gas heating Unfortunately the cost was too prohibitive financially.,Yes,"We were quoted on a Mitsubishi Ecodan R32 ultra quiet air source heat pump, aligned with a monobloc unit for storage. Isee you are promoting the heat battery as an alternative method of storage, I have viewed the Sun amp website and I am encouraged to learn more.",Yes,"We have installed double glazing throughout the bungalow and a thermal front door, our loft is insulated with fibre wall and we are actively searching to install underfloor and roof insulation as we have little or no protection in these areas.We have had cavity wall insulation installed and we are progressively installing LED lighting",Yes,"My wife is now of pensionable age and I unfortunately had to retire from work through ill health, we currently rely upon disability benefit and my wifes pension.",Yes,"New technology really interests me, whether it be energy or ecologically related and when they go hand in hand it is very exciting, although our expectations are currently tempered by our our financial situation.",Yes,Any help we can offer to support your scheme and the recording of valuable data we would gladly encourage and would be keen to know the ongoing results.,Yes,"As I examined previously, I have enquired about this energy source.",Yes,We have a gas fire boiler of 25 years and this is the ideal time.e to change to a greener system .,No,,24/03/2021,Retrofitworks,House,Semi-Detached,Suburban,1919-1944,,2.0,0.0,2.0,79.6,4.0,2.0,6.0,2.35,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Standard,,Water,120,0.0,0.0,0.0,No,No,,,4.7,59.05,6540.0,2292.0,82.0,,,Yes,No,Yes,Yes,ASHP,,,,11583.12,0.0,394.29,15.0,,Yes,,,11/05/2021,Ecolution Group,ASHP,,Daikin,ERGA06DVA,6.0,R32,,PCM_New,,10.5,1.0,0.0,0.0,0.0,,,No,0.0,0.0,0.0,No,No,0.0,0.0,,No,6496.19,2024.53,3062.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,True,,ME8,Semi-Detached,1919-1944,ASHP,Daikin,ERGA06DVA,6.0,R32,2021-06-18T12:36:00.000Z,2023-09-28T23:58:00.000Z,832.47,2021-10-13T00:00:00.000Z,2023-09-28T23:56:00.000Z,716.0,2021-10-13T00:00:00.000Z,2022-10-13T00:00:00.000Z,3.3,1.286,2.867,2.627,2.627,2365.21,5911.16,303.1,0.0,0.0,,,,,45.97,45.97,34.81,46.61,35.19,62.47,False,0.0,cleaned,0.951,0.951,0.947,,0.951,,310.0,2.368,0.138,2.311,2.32,0.091,2.278,2.32,0.091,2.278,,,True,2022-12-15T00:00:00.000Z,2.582,-2.04,1.2,-4.58,,,,28.82,73.3,1.12,0.0,0.0,,1.0,1.0,1.0,,1.0,
E.ON,EOH0323,NE3,30.0,Working Full time (>30hrs),Manager,"40,001 - 50,000",2021-01-26T00:00:00.000Z,Owner-Occupied,3.0,C1,2.0,NO,,,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,NO,,10/02/2021,Phoenix,House,Semi-Detached,Urban,1983 - 1990,D,2.0,0.0,2.0,84.0,5.0,3.0,6.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,Fire - Gas,,,0.0,1.0,1.0,No,No,,,5.537,83.96,13423.9,3820.0,0.0,55.0,2.96,No,No,No,Yes with additional measures,Hybrid,,,Loft Insulation,10245.07,500.0,682.0,14.3,3.8,Yes,,,18/03/2021,Phoenix,Hybrid,Separate_New Boiler,Daikin,EHY2KOMB28AA,4.0,R32,,,,,1.0,7.0,0.0,0.0,none,none,No,0.0,0.0,0.0,No,Yes,0.0,0.0,,no,5739.82,,,2315.87,0.0,500.0,0.0,0.0,0.0,0.0,3.0,0.0,,True,,NE3,Semi-Detached,1983 - 1990,Hybrid,Daikin,EHY2KOMB28AA,4.0,R32,2021-03-18T19:58:00.000Z,2023-09-29T00:00:00.000Z,924.17,2021-03-18T20:00:00.000Z,2023-09-28T23:58:00.000Z,924.17,2022-01-13T00:00:00.000Z,2023-01-13T00:00:00.000Z,3.3,1.63,6.377,6.377,5.452,656.09,3576.77,0.0,0.0,95.25,2306.67,3.417,115.46,0.46,48.68,48.68,43.07,49.93,44.62,66.25,True,0.01594,cleaned,0.969,0.969,,,0.969,0.939,248.0,7.035,0.286,7.162,7.035,0.286,7.162,5.838,0.18,5.918,55.0,2.96,False,2022-12-13T00:00:00.000Z,31.301,-5.52,-2.97,-7.94,16.93,21.51,12.81,1.73,53.99,0.0,0.0,1.51,53.63,1.0,1.0,,,1.0,1.0
Warmworks,EOH0324,TD7,34.0,Working Full time (>30hrs),Professional,"12,501 - 16,200",2020-07-03T00:00:00.000Z,Owner-Occupied,1.0,C1,3.0,Yes,,Yes,,No,,No,,Yes,,No,,No,,No,,No,,No,,29/07/2020,Warmworks,House,Semi-Detached,Rural,1965-1980,C,2.0,0.0,2.0,77.56,4.0,2.0,4.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,No,No,1857.0,,6.3,90.0,16942.0,2865.0,0.0,50.0,3.65,Yes,No,Yes,Yes,HT_ASHP,,,,,,921.98,15.0,,Yes,,,28/10/2020,Everwarm,HT_ASHP,,Vaillant,VWL 75/6 A 230V S2,7.0,R290,0.0,Water_New,150.0,,1.0,,6.0,0.0,,Low Noise Heat Pump,No,0.0,0.0,0.0,No,No,0.0,0.0,,No,11215.18,3508.27,1610.23,1623.46,,,,,,,2.0,0.0,,True,,TD7,Semi-Detached,1965-1980,HT_ASHP,Vaillant,VWL 75/6 A 230V S2,7.0,R290,2021-06-01T11:02:00.000Z,2023-09-28T23:58:00.000Z,849.54,2021-06-01T11:04:00.000Z,2023-09-28T23:56:00.000Z,849.54,2022-07-13T00:00:00.000Z,2023-07-13T00:00:00.000Z,0.0,0.0,2.858,2.858,2.652,3449.83,9148.32,0.0,0.0,248.65,,-0.792,-21.7,1.28,40.53,41.89,38.6,42.43,40.33,61.28,False,0.0,cleaned,1.0,1.0,1.0,,1.0,,482.0,2.902,0.049,2.872,2.902,0.049,2.872,2.682,0.042,2.662,50.0,3.65,True,2022-12-13T00:00:00.000Z,1.889,-1.35,1.62,-4.46,17.63,19.87,16.68,44.5,84.08,0.0,0.0,0.92,,1.0,1.0,1.0,,1.0,
OVO,EOH0325,RG10,35.0,Working Full time (>30hrs),Manager,"50,001+",2020-07-07T00:00:00.000Z,Owner-Occupied,3.0,AB,3.0,Yes,"We try to do everything we can to reduce our environmental impact, from small things like buying recycled toilet roll with no plastic packaging and eco-bricking all the way up to the bigger things. We have recently switched to a fully electric car and already have a fully renewable electricity tariff. We would love to stop using gas so that we are completely fossil fuel free.",Yes,We had already started to research the options for installing a heat pump and as a result of this came across the details of the trial. In order to halt the climate crisis it is going to be necessary for us all to move to a new source of energy and someone needs to lead the way. It would be really exciting to be part of that process and contribute to the change.,Yes,Our house still uses the original gas boiler and a hot water tank. If we do not install a heat pump then we will need to upgrade to a new boiler because it is inefficient and no longer supported by the manufacturer. Instead of replacing it with another gas boiler it seems to be the right time to upgrade to a greener technology.,No,,No,"Our main motivation is to help reduce our environmental impact, the money saving is simply a bonus.",Yes,"I am not someone who is particularly keen on technology itself, but I am interested in innovations which relate directly to the environment and have no qualms about moving to a new system.",Yes,I believe that in order to make positive changes to help combat the climate crisis it is important for some people to take a risk and be early adopters of new technology. these early adopters can then help to spread the word and provide real-life examples of how we can do things differently.,Yes,We have made initial enquiries about switching to a heat pump with several local companies. Registering interest in the trial came about as part of that research.,Yes,Our current gas boiler is no longer supported so will need to be replaced (see previous answer),No,,13/02/2021,Retrofitworks,House,Semi-Detached,,1991-2000,,2.0,0.0,2.0,80.0,5.0,3.0,,,,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,,,,,0.0,1.0,Yes - Ground Loop,Yes,,,,,,,,,,,,,,None - Installation not recommended,Programme_TargetMet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO,EOH0326,RH1,36.0,Working Full time (>30hrs),Manager,Prefer not to say,2020-07-14T00:00:00.000Z,Owner-Occupied,7.0,AB,3.0,Yes,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,No,,19/11/2020,Retrofitworks,House,Semi-Detached,Suburban,1919-1944,,2.0,0.0,2.0,74.0,5.0,3.0,5.0,2.35,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,0.0,No,No,,,6.863,76.6,15650.0,3872.0,414.0,,,Yes,No,Yes,Yes,None - Installation not recommended,Economic_MeasuresCosts,,,13557.55,0.0,1097.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH0327,NE12,52.0,Working Full time (>30hrs),Professional,"30,001 - 40,000",2021-02-23T00:00:00.000Z,Owner-Occupied,6.0,C1,3.0,YES,,NO,,NO,,NO,,YES,potential for bill savings,NO,,NO,,NO,,NO,,NO,,03/03/2021,Phoenix,House,Semi-Detached,Urban,1950 - 1966,D,2.0,0.0,2.0,74.0,4.0,2.0,7.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH0328,NE3,56.0,Working Full time (>30hrs),Casual worker,Prefer not to say,2021-03-05T00:00:00.000Z,Owner-Occupied,6.0,C1,1.0,YES,,NO,,NO,,NO,,YES,potential for bill savings & gov grant,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO,EOH0329,KT18,83.0,Retired,Pensioner,Prefer not to say,2021-06-09T00:00:00.000Z,Rented (Social),11.0,DE,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,14/03/2021,Retrofitworks,Flat,Flat,Urban,1991-2000,D,2.0,0.0,1.0,47.0,3.0,1.0,3.0,2.38,Cavity_Insulated,Suspended,Pitched,Double,No,Electricity,Electric - Storage,Electric - Storage,Water,100,0.0,0.0,0.0,Yes - Borehole,Yes,,,2.664,36.0,5525.0,1798.0,0.0,,,No,Yes with additional measures,No,No,GSHP,,,Heat Emitters,15920.96,3887.25,320.96,17.0,,Yes,,,31/07/2021,Kensa,GSHP,Shared_Groundloop,Kensa,S6-P0K,3.0,R134a,,PCM_New,,10.5,1.0,0.0,5.0,0.0,,,No,0.0,0.0,0.0,No,No,0.0,0.0,,No,2907.89,1982.51,8530.78,3887.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,True,,KT18,Flat,1991-2000,GSHP,Kensa,S6-P0K,3.0,R134a,2021-07-28T19:18:00.000Z,2022-09-10T17:06:00.000Z,408.91,2021-08-03T00:00:00.000Z,2022-09-10T17:04:00.000Z,403.71,2021-08-22T00:00:00.000Z,2022-08-22T00:00:00.000Z,3.0,0.064,2.7,2.649,2.452,1702.92,4127.34,47.66,0.0,126.81,,,,,45.18,48.76,43.23,47.07,45.16,65.28,True,0.0001,cleaned,0.997,0.907,0.997,,0.997,,39.0,2.702,0.008,2.7,2.651,0.008,2.649,2.453,0.007,2.452,,,False,2021-11-29T00:00:00.000Z,2.602,0.03,4.89,-2.5,29.13,30.56,27.18,13.16,34.12,0.13,0.0,1.11,,1.0,1.0,1.0,,1.0,
E.ON,EOH0330,NE15,40.0,Working Full time (>30hrs),Supervisor,"40,001 - 50,000",2021-03-16T00:00:00.000Z,Owner-Occupied,3.0,C1,3.0,YES,,NO,,NO,,NO,,YES,potential for bill savings,YES,,NO,,NO,,NO,,NO,,19/03/2021,Phoenix,House,Semi-Detached,Urban,1967 - 1975,D,2.0,2.0,2.0,119.0,5.0,3.0,8.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,No,No,,,7.091,91.63,25860.0,3820.0,0.0,,,No,No,No,Yes,Hybrid,,,Loft Insulation,10984.26,500.0,1115.0,14.3,3.8,No,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO,EOH0331,PO35,35.0,Working Full time (>30hrs),Clerical,"50,001+",2020-07-07T00:00:00.000Z,Owner-Occupied,,C1,2.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,No,,No,,22/12/2020,,House,,,1919-1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmworks,EOH0332,KY11,34.0,Working Full time (>30hrs),Professional,"30,001 - 40,000",2020-06-29T00:00:00.000Z,Owner-Occupied,8.0,C1,3.0,Yes,Sustainability,No,,Yes,Upgrade,No,,Yes,Financial,No,,No,,No,,No,,No,,26/07/2020,Everwarm,House,Semi-Detached,Suburban,1981-1990,D,1.0,0.0,1.0,55.39,3.0,2.0,3.0,2.35,Cavity_No_insulation,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,,Water,Normal (90-130l),0.0,0.0,1.0,No,No,2729.0,7168.0,3.7,92.0,10063.0,2865.0,0.0,,,Yes,Yes,Yes,No,HT_ASHP,,,,,,674.34,15.0,,Yes,,,01/10/2020,Everwarm,HT_ASHP,,Vaillant,VWL 55/6 A 230V S2,5.0,R290,0.0,Water_New,150.0,,1.0,,4.0,0.0,,Low Noise Heat Pump,No,0.0,0.0,0.0,No,No,0.0,0.0,,No,11215.18,3508.27,1610.23,1082.3,,,,,,,2.0,0.0,,True,,KY11,Semi-Detached,1981-1990,HT_ASHP,Vaillant,VWL 55/6 A 230V S2,5.0,R290,2020-10-26T00:02:00.000Z,2023-09-29T00:00:00.000Z,1068.0,2021-04-21T00:00:00.000Z,2023-09-28T23:58:00.000Z,891.0,2022-07-07T00:00:00.000Z,2023-07-07T00:00:00.000Z,0.0,0.0,2.674,2.674,2.674,1324.49,3541.74,0.0,0.0,0.0,,,,,40.53,41.64,37.39,41.21,38.34,68.17,True,5e-05,cleaned,0.995,0.994,,,0.995,,508.0,2.639,0.042,2.653,2.639,0.042,2.653,2.639,0.042,2.653,,,True,2022-12-13T00:00:00.000Z,1.994,-6.42,-2.6,-8.37,16.49,19.56,12.62,19.0,37.89,0.0,0.0,0.0,,1.0,1.0,,,1.0,
OVO,EOH0333,KT18,76.0,Retired,Pensioner,Prefer not to say,2021-06-09T00:00:00.000Z,Rented (Social),5.0,DE,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,14/03/2021,Retrofitworks,Flat,Flat,Urban,1991-2000,C,2.0,0.0,1.0,46.0,2.0,1.0,3.0,2.38,Cavity_Insulated,Suspended,Pitched,Double,No,Electricity,Electric - Storage,Electric - Storage,Water,100,0.0,0.0,0.0,Yes - Borehole,Yes,,,2.257,36.0,4417.0,1798.0,0.0,,,No,Yes with additional measures,No,No,GSHP,,,Heat Emitters,15920.96,3887.25,320.96,17.0,,Yes,,,24/07/2021,Kensa,GSHP,Shared_Groundloop,Kensa,S6-P0K,3.0,R134a,,PCM_New,,10.5,1.0,0.0,5.0,0.0,,,No,0.0,0.0,0.0,No,No,0.0,0.0,,No,2907.89,1982.51,8530.78,3887.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,True,,KT18,Flat,1991-2000,GSHP,Kensa,S6-P0K,3.0,R134a,2021-07-29T19:30:00.000Z,2023-02-02T12:36:00.000Z,552.71,2021-08-03T00:00:00.000Z,2023-02-02T12:34:00.000Z,548.52,2021-12-20T00:00:00.000Z,2022-12-20T00:00:00.000Z,2.0,0.002,2.798,2.65,2.547,1265.45,3123.06,99.78,0.0,49.47,,,,,46.7,56.04,43.67,52.11,48.92,68.63,True,0.00418,cleaned,0.998,0.998,0.998,,0.998,,90.0,2.782,0.081,2.8,2.641,0.065,2.651,2.539,0.06,2.548,,,False,2022-12-15T00:00:00.000Z,2.705,-4.15,-1.65,-7.51,23.38,25.98,18.68,14.69,39.46,0.27,0.0,0.74,,1.0,1.0,1.0,,1.0,
OVO,EOH0334,HP21,30.0,Working Full time (>30hrs),Professional,"40,001 - 50,000",2020-12-06T00:00:00.000Z,Owner-Occupied,3.0,C1,4.0,Yes,,Yes,"most of the house is running on alexa and phillips hue lighting, keen to add heating controls to this",Yes,currently have an old back boiler and looking at heat pumps ground or air as a way of doing this.,No,,No,added bonus but if i can contribute to the trial and provide useful information to eventually get the masses onto heat pumps that is the main achievement,Yes,i am an engineer and keen to have new technology in the home and heat pumps have always been on keen interest,Yes,"yes, i hope my participation can help contribute to the mass adoption go low carbon heating technology.",No,,Yes,as above currently have a old working back boiler but this is very inefficient and would been keen to move to ta low carbon heating solution,No,,04/02/2021,Retrofitworks,House,Mid-Terrace,Suburban,1919-1944,,1.0,0.0,2.0,58.8,3.0,2.0,4.0,2.3,Cavity_No_insulation,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,Electric - Direct,Water,100,0.0,1.0,1.0,No,No,,,,,,,,,,No,No,No,No,None - Installation not recommended,Practical_SpaceExternal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.ON,EOH0335,NE6,48.0,Working Full time (>30hrs),Professional,"25,001 - 30,000",2021-06-30T00:00:00.000Z,Owner-Occupied,12.0,C1,3.0,YES,,NO,,YES,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,23/07/2021,Energist,House,Semi-Detached,Urban,1950 - 1966,E,2.0,0.0,1.0,73.0,5.0,3.0,7.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Standard,,Water,150,0.0,0.0,1.0,No,No,,,5.03,60.5,14614.0,3566.0,0.0,45.0,3.77,Yes,No,Yes,Yes,ASHP,,,None Required,13147.7,,783.0,12.5,3.5,Yes,,,30/07/2021,Energist,HT_ASHP,,Vaillant,VWL 55/6 A 230V S2,5.0,R290,,Water_new,200.0,,1.0,5.0,0.0,0.0,none,none,No,0.0,0.0,0.0,No,No,0.0,0.0,,no,5335.0,1752.34,,1945.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,True,,NE6,Semi-Detached,1950 - 1966,HT_ASHP,Vaillant,VWL 55/6 A 230V S2,5.0,R290,2021-07-28T08:06:00.000Z,2023-02-15T17:52:00.000Z,567.41,2021-07-28T08:08:00.000Z,2023-02-15T17:48:00.000Z,567.4,2021-08-22T00:00:00.000Z,2022-08-22T00:00:00.000Z,2.0,0.004,2.962,2.962,2.838,3114.04,8838.73,0.0,0.0,130.46,,-0.808,-21.42,1.27,40.66,41.99,37.49,45.46,41.66,75.12,True,0.0009,cleaned,0.998,0.993,,,0.998,,155.0,3.052,0.102,2.999,3.052,0.102,2.999,2.908,0.077,2.868,45.0,3.77,True,2022-12-13T00:00:00.000Z,2.207,-5.52,-2.97,-7.94,18.92,19.66,18.4,30.21,66.66,0.0,0.0,0.77,,1.0,1.0,,,1.0,
OVO,EOH0336,SO51,58.0,Working Part time,Clerical,Prefer not to say,2020-11-19T00:00:00.000Z,Owner-Occupied,23.0,C1,3.0,Yes,,Yes,This boiler has lasted 23 years so far. I do not want to wait another 23 years before becoming a greener house owner,Yes,As above,No,,Yes,Clearly I would like to take up a free offer and be a show house for other potential buyers,Yes,"I learnt about heat pumps during my college days...many years ago, it is like going full circle to think these may be fitted as standard to a house",Yes,We are happy to provide feedback at any time,Yes,Have not been planning a heat pump version but when I do the research I am sure I would have picked up that they are becoming a popular install.,Yes,23 years old and still going. I appreciate too that it may not be the most efficient boiler.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
